pre_state,action,reward,state
2.18186 0.697325 -2.42774 0.382356,1.4351 0.893834 0.94019 1.11857,-97.0835,2.18171 0.697229 -2.39296 0.381982
2.18171 0.697229 -2.39296 0.381982,1.43277 0.894481 0.942434 1.08381,-97.047,2.18158 0.697131 -2.35612 0.38152
2.18158 0.697131 -2.35612 0.38152,1.4423 0.89795 0.936577 1.07033,-97.0101,2.18146 0.697033 -2.31704 0.381074
2.18146 0.697033 -2.31704 0.381074,1.43533 0.893449 0.927166 1.07477,-96.9728,2.18135 0.696933 -2.27593 0.380607
2.18135 0.696933 -2.27593 0.380607,1.43653 0.909272 0.976587 1.05055,-96.9352,2.18127 0.696833 -2.23303 0.380324
2.18127 0.696833 -2.23303 0.380324,1.42824 0.936143 0.989072 1.06115,-96.8972,2.18119 0.696731 -2.18853 0.380208
2.18119 0.696731 -2.18853 0.380208,1.41005 0.914841 0.996995 1.06404,-96.859,2.18114 0.696629 -2.14309 0.380003
2.18114 0.696629 -2.14309 0.380003,1.40869 0.899402 0.987391 1.07933,-96.8206,2.1811 0.696526 -2.09703 0.379776
2.1811 0.696526 -2.09703 0.379776,1.40531 0.903516 0.998874 1.07218,-96.782,2.18108 0.696422 -2.05043 0.379584
2.18108 0.696422 -2.05043 0.379584,1.3946 0.895057 0.99405 1.05039,-96.7434,2.18107 0.696319 -2.00327 0.37925
2.18107 0.696319 -2.00327 0.37925,1.385 0.91038 0.976552 1.0472,-96.7049,2.18109 0.696215 -1.95531 0.37889
2.18109 0.696215 -1.95531 0.37889,1.37368 0.902457 0.956806 1.07816,-96.6665,2.18112 0.696112 -1.90695 0.378532
2.18112 0.696112 -1.90695 0.378532,1.37272 0.903915 0.957898 1.07477,-96.6283,2.18117 0.696009 -1.8582 0.378197
